IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9785988,DUKE SANTOS,EXPORTAÇÃO,229,81.982,SOJA,69.300,7.87,ALPHAMAR,22/06/23
9461702,HAFNIA PHOENIX,TRANSBORDO,183,49.999,DIESEL,41.180,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,22/06/23
9459060,NAVE ATRIA,EXPORTAÇÃO,183,49.992,GASOLINA,43.579,8,LACHMANN,22/06/23
9930519,PS STARS,TRANSBORDO,183,49.999,GASOLINA,18.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,22/06/23
9315769,THE SAUCE,IMPORTAÇÃO,184,37.651,DIESEL,10.000,9.5,NORTH STAR,22/06/23
9798351,ELDIA,IMPORTAÇÃO,183,49.996,DIESEL,29.832,10.45,UNIMAR,22/06/23
9405904,KLARA,IMPORTAÇÃO,183,49.999,DIESEL,26.082,11.6,NORTH STAR,22/06/23
9704441,ZOILO,IMPORTAÇÃO,183,49.990,DIESEL,51.871,12.5,NORTH STAR,22/06/23
9279800,PEDHOULAS MERCHANT,EXPORTAÇÃO,229,82.164,SOJA,65.000,7.2,LBH BRASIL,22/06/23
9307578,SPAR SCORPIO,EXPORTAÇÃO,190,53.168,COBRE,43.100,5,WILHELMSEN PORT SERVICES BRASIL LTDA,22/06/23
9489895,CELSO FURTADO,IMPORTAÇÃO,183,48.300,DIESEL S 500,39.900,12,LACHMANN,22/06/23
9660657,OCEAN VENTURE,IMPORTAÇÃO,183,49.995,OLEO.COMBUSTÍVEL - ABASTECIMENTO NO 102,8.500,7,LACHMANN,22/06/23
9761956,SUNRISE,IMPORTAÇÃO,228,74.043,GASOLINA,82.180,12.7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,22/06/23
9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,22/06/23
9798337,JINLING CONFIDENCE,IMPORTAÇÃO,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,22/06/23
9748368,LA STELLA,IMPORTAÇÃO,200,61.250,MOP,27.060,10.9,ORION RODOS,23/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,23/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,23/06/23
9659799,WL LADOGA,IMPORTAÇÃO,180,37.666,FERTILIZANTES,30.000,10,WILHELMSEN PORT SERVICES BRASIL LTDA,23/06/23
9628128,HANDY PERTH,EXPORTAÇÃO,180,35.177,CONCENTRADO.COBRE,27.500,8,GEM,23/06/23
9420825,DOLFIJNGRACHT,IMPORTAÇÃO,157,17.967,TRILHOS,3.471,7.33,TRANSGLOBAL OPERACOES PORTUARIAS LTDA,23/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,23/06/23
9803417,WECO KAROLINE,IMPORTAÇÃO,180,38.905,MES9,19.000,6.78,ROCHAMAR,23/06/23
9481465,JOY,EXPORTAÇÃO,229,79.457,SOJA,65.000,7.65,FERTIMPORT,23/06/23
9956185,GITA,EXPORTAÇÃO,229,82.136,SOJA,70.841,7,ALPHAMAR,23/06/23
9785988,DUKE SANTOS,EXPORTAÇÃO,229,81.982,SOJA,69.300,7.87,ALPHAMAR,23/06/23
9589267,FARMER,EXPORTAÇÃO,229,81.541,SOJA,66.000,7.9,CARGONAVE,23/06/23
9798351,ELDIA,IMPORTAÇÃO,183,49.996,DIESEL,29.832,10.45,UNIMAR,23/06/23
9930519,PS STARS,TRANSBORDO,183,49.999,GASOLINA,18.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,23/06/23
9315769,THE SAUCE,IMPORTAÇÃO,184,37.651,DIESEL,10.000,9.5,NORTH STAR,23/06/23
9461702,HAFNIA PHOENIX,TRANSBORDO,183,49.999,DIESEL,41.180,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,23/06/23
9704441,ZOILO,IMPORTAÇÃO,183,49.990,DIESEL,51.871,12.5,NORTH STAR,23/06/23
9279800,PEDHOULAS MERCHANT,EXPORTAÇÃO,229,82.164,SOJA,65.000,7.2,LBH BRASIL,23/06/23
9307578,SPAR SCORPIO,EXPORTAÇÃO,190,53.168,COBRE,43.100,5,WILHELMSEN PORT SERVICES BRASIL LTDA,23/06/23
9405904,KLARA,IMPORTAÇÃO,183,49.999,DIESEL,26.082,11.6,NORTH STAR,23/06/23
9761956,SUNRISE,IMPORTAÇÃO,228,74.043,GASOLINA,82.180,12.7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,23/06/23
9660657,OCEAN VENTURE,IMPORTAÇÃO,183,49.995,OLEO.COMBUSTÍVEL - ABASTECIMENTO NO 102,8.500,7,LACHMANN,23/06/23
9489895,CELSO FURTADO,IMPORTAÇÃO,183,48.300,DIESEL S 500,39.900,12,LACHMANN,23/06/23
9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,23/06/23
9798337,JINLING CONFIDENCE,IMPORTAÇÃO,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,23/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,24/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,24/06/23
9659799,WL LADOGA,IMPORTAÇÃO,180,37.666,FERTILIZANTES,30.000,10,WILHELMSEN PORT SERVICES BRASIL LTDA,24/06/23
9748368,LA STELLA,IMPORTAÇÃO,200,61.250,MOP,27.060,10.9,ORION RODOS,24/06/23
9803417,WECO KAROLINE,IMPORTAÇÃO,180,38.905,MES9,19.000,6.78,ROCHAMAR,24/06/23
9420825,DOLFIJNGRACHT,IMPORTAÇÃO,157,17.967,TRILHOS,3.471,7.33,TRANSGLOBAL OPERACOES PORTUARIAS LTDA,24/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,24/06/23
9481465,JOY,EXPORTAÇÃO,229,79.457,SOJA,65.000,7.65,FERTIMPORT,24/06/23
9589267,FARMER,EXPORTAÇÃO,229,81.541,SOJA,66.000,7.9,CARGONAVE,24/06/23
9956185,GITA,EXPORTAÇÃO,229,82.136,SOJA,70.841,7,ALPHAMAR,24/06/23
9785988,DUKE SANTOS,EXPORTAÇÃO,229,81.982,SOJA,69.300,7.87,ALPHAMAR,24/06/23
9798351,ELDIA,IMPORTAÇÃO,183,49.996,DIESEL,29.832,10.45,UNIMAR,24/06/23
9930519,PS STARS,TRANSBORDO,183,49.999,GASOLINA,18.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,24/06/23
9315769,THE SAUCE,IMPORTAÇÃO,184,37.651,DIESEL,10.000,9.5,NORTH STAR,24/06/23
