IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9860623,SANTA INES,EXPORTAÇÃO,200,63.449,CONCENTRADO.COBRE,13.500,11.25,GEM,16/07/23
9808340,CIELO DI IYO,IMPORTAÇÃO,183,37.204,MOP,35.680,10.4,LACHMANN,16/07/23
9697832,FEDERAL BERING,IMPORTAÇÃO,200,34.564,MOP,20.842,8.3,ORION RODOS,16/07/23
9356402,UNISPIRIT,IMPORTAÇÃO,132,9.775,TRILHOS,4.306,7,HARMS E CIA,16/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,16/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,16/07/23
9514377,NORDIC STAVANGER,EXPORTAÇÃO,190,56.172,SOJA,47.000,7,ALPHAMAR,16/07/23
9591997,PHOENIX OCEAN,EXPORTAÇÃO,225,76.067,SOJA,65.898,7,LBH BRASIL,16/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,16/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,16/07/23
9702728,MV AGIOS NIKOLAS,EXPORTAÇÃO,190,57.902,MILHO,47.000,6,LBH BRASIL,16/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,16/07/23
9294276,G BRIGHT,IMPORTAÇÃO,141,19.931,SODA CÁUSTICA,6.282,9.56,ZYON SHIPPING,16/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,16/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,16/07/23
9913339,EVER ZENITH,EXPORTAÇÃO,229,82,MILHO,66.000,7.7,CARGONAVE,16/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,16/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,16/07/23
9489900,SERGIO BUARQUE DE HOLANDA,IMPORTAÇÃO,183,48.573,DIESEL,8.000,12,LACHMANN,16/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,16/07/23
9380087,JOROPO,IMPORTAÇÃO,183,47.410,GASOLINA,28.000,10,LACHMANN,16/07/23
9657038,NAVE JUPITER,IMPORTAÇÃO,183,49.999,DIESEL,45.000,12.3,LACHMANN,16/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,7.587,12.6,NORTH STAR,16/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,18/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,18/07/23
9671058,FEDERAL CHAMPLAIN,EXPORTAÇÃO,200,34.564,COBRE,11.550,7,WILHELMSEN PORT SERVICES BRASIL LTDA,18/07/23
9596856,LUCIO COSTA,IMPORTAÇÃO,118,5.097,GLP,3.500,7.2,LACHMANN,18/07/23
9356402,UNISPIRIT,IMPORTAÇÃO,132,9.775,TRILHOS,4.306,7,HARMS E CIA,18/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,18/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,18/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,18/07/23
9514377,NORDIC STAVANGER,EXPORTAÇÃO,190,56.172,SOJA,47.000,7,ALPHAMAR,18/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,18/07/23
9702728,MV AGIOS NIKOLAS,EXPORTAÇÃO,190,57.902,MILHO,47.000,6,LBH BRASIL,18/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,18/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,18/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,18/07/23
9591997,PHOENIX OCEAN,EXPORTAÇÃO,225,76.067,SOJA,65.898,7,LBH BRASIL,18/07/23
9294276,G BRIGHT,IMPORTAÇÃO,141,19.931,SODA CÁUSTICA,6.282,9.56,ZYON SHIPPING,18/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,18/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,18/07/23
9913339,EVER ZENITH,EXPORTAÇÃO,229,82,MILHO,66.000,7.7,CARGONAVE,18/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,18/07/23
9657038,NAVE JUPITER,IMPORTAÇÃO,183,49.999,DIESEL,45.000,12.3,LACHMANN,18/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,7.587,12.6,NORTH STAR,18/07/23
9356751,BEKS FENIX,IMPORTAÇÃO,189,49.933,DIESEL,32.696,12.35,NORTH STAR,18/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,18/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,18/07/23
9380087,JOROPO,IMPORTAÇÃO,183,47.410,GASOLINA,28.000,10,LACHMANN,18/07/23
9008706,ARACARI ARROW,EXPORTAÇÃO,199,46.956,CELULOSE,26.900,9,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,20/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,20/07/23
9591997,PHOENIX OCEAN,EXPORTAÇÃO,225,76.067,SOJA,65.898,7,LBH BRASIL,20/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,20/07/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,14.650,11.5,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9671058,FEDERAL CHAMPLAIN,EXPORTAÇÃO,200,34.564,COBRE,11.550,7,WILHELMSEN PORT SERVICES BRASIL LTDA,20/07/23
9596856,LUCIO COSTA,IMPORTAÇÃO,118,5.097,GLP,3.500,7.2,LACHMANN,20/07/23
9537264,AKSON SANDRA,IMPORTAÇÃO,190,38.405,FERTILIZANTES,13.997,8.5,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9703514,GENTLE SEAS,IMPORTAÇÃO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,20/07/23
9356402,UNISPIRIT,IMPORTAÇÃO,132,9.775,TRILHOS,4.306,7,HARMS E CIA,20/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,20/07/23
9514377,NORDIC STAVANGER,EXPORTAÇÃO,190,56.172,SOJA,47.000,7,ALPHAMAR,20/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,20/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,20/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,20/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,20/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,20/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,20/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82.270,MILHO,71.400,7.9,CARGONAVE,20/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,20/07/23
9294276,G BRIGHT,IMPORTAÇÃO,141,19.931,SODA CÁUSTICA,6.282,9.56,ZYON SHIPPING,20/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,20/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,20/07/23
9657038,NAVE JUPITER,IMPORTAÇÃO,183,49.999,DIESEL,45.000,12.3,LACHMANN,20/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,20/07/23
9356751,BEKS FENIX,IMPORTAÇÃO,189,49.933,DIESEL,32.696,12.35,NORTH STAR,20/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,20/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,20/07/23
9425540,ENDLESS SUMMER,IMPORTAÇÃO,183,49.999,GASOLINA,35.000,10,LACHMANN,20/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,4.122,12.6,NORTH STAR,20/07/23
9008706,ARACARI ARROW,EXPORTAÇÃO,199,46.956,CELULOSE,26.900,9,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,20/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,20/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,4.122,12.6,NORTH STAR,20/07/23
9703514,GENTLE SEAS,IMPORTAÇÃO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,20/07/23
9537264,AKSON SANDRA,IMPORTAÇÃO,190,38.405,FERTILIZANTES,13.997,8.5,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,20/07/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,14.650,11.5,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9703459,DEVBULK CANSEN,EXPORTAÇÃO,177,35.309,CONCENTRADO.COBRE,34.748,7,LBH BRASIL,21/07/23
9596856,LUCIO COSTA,IMPORTAÇÃO,118,5.097,GLP,3.500,7.2,LACHMANN,20/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,20/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,20/07/23
9514377,NORDIC STAVANGER,EXPORTAÇÃO,190,56.172,SOJA,47.000,7,ALPHAMAR,20/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,20/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,20/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,20/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,20/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,20/07/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,21/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82.270,MILHO,71.400,7.9,CARGONAVE,20/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,20/07/23
9425540,ENDLESS SUMMER,IMPORTAÇÃO,183,49.999,GASOLINA,35.000,10,LACHMANN,20/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,20/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,20/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,20/07/23
9356751,BEKS FENIX,IMPORTAÇÃO,189,49.933,DIESEL,32.696,12.35,NORTH STAR,20/07/23
9657038,NAVE JUPITER,IMPORTAÇÃO,183,49.999,DIESEL,45.000,12.3,LACHMANN,20/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,20/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,20/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,20/07/23
9008706,ARACARI ARROW,EXPORTAÇÃO,199,46.956,CELULOSE,26.900,9,WILSON SONS SHIPPING SERVICES LTDA,23/07/23
9603805,STAR LUSTER,IMPORTAÇÃO,204,50.740,MES9,5.400,12.6,ROCHAMAR,23/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,4.122,12.6,NORTH STAR,23/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,23/07/23
9537264,AKSON SANDRA,IMPORTAÇÃO,190,38.405,FERTILIZANTES,13.997,8.5,WILSON SONS SHIPPING SERVICES LTDA,23/07/23
9703459,DEVBULK CANSEN,EXPORTAÇÃO,177,35.309,CONCENTRADO.COBRE,34.748,7,LBH BRASIL,23/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,23/07/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,14.650,11.5,WILSON SONS SHIPPING SERVICES LTDA,23/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,23/07/23
9942615,PROTECTOR,EXPORTAÇÃO,229,82.357,SOJA,63.000,7.55,ROCHAMAR,23/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,23/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,23/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,23/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82.270,MILHO,71.400,7.9,CARGONAVE,23/07/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,23/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,23/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,23/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,23/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,23/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,23/07/23
9356751,BEKS FENIX,IMPORTAÇÃO,189,49.933,DIESEL,32.696,12.35,NORTH STAR,23/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,23/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,23/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,23/07/23
9380087,JOROPO,IMPORTAÇÃO,183,47.410,DIESEL S 500,29.700,10,LACHMANN,23/07/23
9008706,ARACARI ARROW,EXPORTAÇÃO,199,46.956,CELULOSE,26.900,9,WILSON SONS SHIPPING SERVICES LTDA,24/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,4.122,12.6,NORTH STAR,24/07/23
9703459,DEVBULK CANSEN,EXPORTAÇÃO,177,35.309,CONCENTRADO.COBRE,34.748,7,LBH BRASIL,24/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,24/07/23
9537264,AKSON SANDRA,IMPORTAÇÃO,190,38.405,FERTILIZANTES,13.997,8.5,WILSON SONS SHIPPING SERVICES LTDA,24/07/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,14.650,11.5,WILSON SONS SHIPPING SERVICES LTDA,24/07/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,9.8,ROCHAMAR,24/07/23
9733545,EPIC SHIKOKU,IMPORTAÇÃO,120,8.993,GLP,3.500,8,LACHMANN,24/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,24/07/23
9942615,PROTECTOR,EXPORTAÇÃO,229,82.357,SOJA,63.000,7.55,ROCHAMAR,24/07/23
9774472,KANG MAY,EXPORTAÇÃO,228,85.001,SOJA,65.000,7.54,FERTIMPORT,24/07/23
9782168,NAVIOS DOLPHIN,EXPORTAÇÃO,229,81.630,SOJA,70.256,7.64,FERTIMPORT,24/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,24/07/23
9947249,JEN LR,EXPORTAÇÃO,229,82.411,SOJA,71.420,6.96,CARGONAVE,24/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82.270,MILHO,71.400,7.9,CARGONAVE,24/07/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,24/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,24/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,24/07/23
9402782,OCEAN ELECTRA,IMPORTAÇÃO,183,47.377,OLEO.COMBUSTÍVEL,4.600,11,LACHMANN,24/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,24/07/23
9786176,MAERSK CEBU,IMPORTAÇÃO,183,49.919,OLEO.COMBUSTÍVEL,5.400,11,LACHMANN,24/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,24/07/23
9580508,CHRISTIANA P,EXPORTAÇÃO,228,80.562,GUSA,77.800,7,ORION RODOS,24/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,24/07/23
9489895,CELSO FURTADO,IMPORTAÇÃO,183,48.300,DIESEL,35.000,10,LACHMANN,24/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,7.587,12.6,NORTH STAR,29/07/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,28/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,28/07/23
9313022,STAR OMICRON,IMPORTAÇÃO,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,28/07/23
9928827,MEGHNA VICTORY,IMPORTAÇÃO,200,66.500,UREIA,39.110,10.59,LBH BRASIL,28/07/23
9474216,COYOTE,IMPORTAÇÃO,180,35.010,TRIGO,9.000,9,WILSON SONS SHIPPING SERVICES LTDA,29/07/23
9460289,NORAH,IMPORTAÇÃO,180,35.957,MES9,7.000,8.8,ROCHAMAR,28/07/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,28/07/23
9942615,PROTECTOR,EXPORTAÇÃO,229,82.357,SOJA,63.000,7.55,ROCHAMAR,28/07/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,28/07/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,28/07/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,SOJA,72.600,7,LBH BRASIL,28/07/23
9837121,ALANOOD,EXPORTAÇÃO,229,80.681,MILHO,65.000,7.9,CARGONAVE,28/07/23
9947249,JEN LR,EXPORTAÇÃO,229,82.411,SOJA,71.420,6.96,CARGONAVE,28/07/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,28/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,28/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,28/07/23
9267211,FORTUNE SUN,EXPORTAÇÃO,225,74.193,SOJA,66.000,7,LBH BRASIL,28/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,28/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,28/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,28/07/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,28/07/23
9380087,JOROPO,EXPORTAÇÃO,183,47.410,GASOLINAS,37.100,7,LACHMANN,29/07/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,28/07/23
9538141,ALHENA,IMPORTAÇÃO,183,52.420,GASOLINA,19.000,11.6,LACHMANN,29/07/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,28/07/23
9411305,TORM CORRIDO,IMPORTAÇÃO,183,46.156,GASOLINE A,13.404,9.5,ZYON SHIPPING,28/07/23
9474216,COYOTE,IMPORTAÇÃO,180,35.010,TRIGO,9.000,9,WILSON SONS SHIPPING SERVICES LTDA,30/07/23
9332963,IONIC STORM,IMPORTAÇÃO,190,56.032,FERTILIZANTES,7.587,12.6,NORTH STAR,30/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,30/07/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,30/07/23
9313022,STAR OMICRON,IMPORTAÇÃO,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,30/07/23
9928827,MEGHNA VICTORY,IMPORTAÇÃO,200,66.500,UREIA,39.110,10.59,LBH BRASIL,30/07/23
9460289,NORAH,IMPORTAÇÃO,180,35.957,MES9,7.000,8.8,ROCHAMAR,30/07/23
9947249,JEN LR,EXPORTAÇÃO,229,82.411,SOJA,71.420,6.96,CARGONAVE,30/07/23
9267211,FORTUNE SUN,EXPORTAÇÃO,225,74.193,SOJA,66.000,7,LBH BRASIL,30/07/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,SOJA,64.000,7,LBH BRASIL,30/07/23
9194397,IKARIA ANGEL,EXPORTAÇÃO,190,46.677,MILHO,43.500,7,LBH BRASIL,30/07/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,30/07/23
9959761,DELIGHT DIVA,EXPORTAÇÃO,229,82.216,MILHO,70.000,7,ALPHAMAR,30/07/23
9942615,PROTECTOR,EXPORTAÇÃO,229,82.357,SOJA,63.000,7.55,ROCHAMAR,30/07/23
9936757,RICHWAY TRADER,EXPORTAÇÃO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,30/07/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,30/07/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,SOJA,72.600,7,LBH BRASIL,30/07/23
9911587,CL GENEVA,EXPORTAÇÃO,230,85.229,OLEO.COMBUSTÍVEL,350,7.6,LBH BRASIL,30/07/23
9842528,SM HARMONY1,EXPORTAÇÃO,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,30/07/23
9660528,BAHRI GRAIN,EXPORTAÇÃO,229,81.855,MILHO,65.000,9.34,ROCHAMAR,30/07/23
9757785,NAVIOS ALEGRIA,EXPORTAÇÃO,229,84.852,SOJA,73.500,7.9,CARGONAVE,30/07/23
9638501,THOR CHAICHANA,EXPORTAÇÃO,197,58.605,GRAOS,51.500,6.2,FERTIMPORT,30/07/23
9411305,TORM CORRIDO,IMPORTAÇÃO,183,46.156,GASOLINE A,13.404,9.5,ZYON SHIPPING,30/07/23
9313058,IOLCOS UNITY,EXPORTAÇÃO,225,74.476,OLEO.COMBUSTÍVEL,400,5.5,LBH BRASIL,30/07/23
9949651,GRAND OCEAN,EXPORTAÇÃO,229,82.689,SOJA,66.000,7.6,ORION RODOS,30/07/23
9849265,CLEAROCEAN MELODY,IMPORTAÇÃO,183,49.995,DIESEL,41.000,11,LACHMANN,30/07/23
9606833,FEDERAL SKYE,IMPORTAÇÃO,190,37.133,ANTRACITA,33.000,9.65,ISS MARINE,01/08/23
9801275,PACIFIC WAVE,IMPORTAÇÃO,180,37.644,FERTILIZANTES,35.000,10.56,CARGONAVE,01/08/23
9263069,MORNINGSTAR,IMPORTAÇÃO,190,46.859,MES9,23.403,9.62,ROCHAMAR,01/08/23
9313022,STAR OMICRON,IMPORTAÇÃO,190,53.489,FERTILIZANTES,42.628,11.06,LBH BRASIL,01/08/23
9460289,NORAH,IMPORTAÇÃO,180,35.957,MES9,7.000,8.8,ROCHAMAR,01/08/23
9942615,PROTECTOR,EXPORTAÇÃO,229,82.357,SOJA,63.000,7.55,ROCHAMAR,01/08/23
9947249,JEN LR,EXPORTAÇÃO,229,82.411,SOJA,71.420,6.96,CARGONAVE,01/08/23
9527441,CHRYSANTHI S,EXPORTAÇÃO,229,80.268,MILHO,66.450,7,LBH BRASIL,01/08/23
9717709,SALAMINIAN,EXPORTAÇÃO,229,81.565,SOJA,70.015,7.9,CARGONAVE,01/08/23
