IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Prev Chegada,Ultima Atualização
9385166,ECO ANGELBAY,IMPORTAÇÃO,175,32.165,FERTILIZANTES,12.050,8,WILHELMSEN PORT SERVICES BRASIL LTDA,16/07/23,22/06/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,8,LBH BRASIL,03/07/23,22/06/23
9832456,EUCALYPTUS,IMPORTAÇÃO,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,07/07/23,22/06/23
9703514,GENTLE SEAS,IMPORTAÇÃO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,17/07/23,22/06/23
9599004,SEAMEC GALLANT,IMPORTAÇÃO,180,32.289,MAP,6.862,9.5,ORION RODOS,09/07/23,22/06/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,04/07/23,22/06/23
9597800,SYROS I,EXPORTAÇÃO,229,81.370,SOJA,65.000,6.9,FERTIMPORT,20/06/23,22/06/23
9758404,STALO,EXPORTAÇÃO,229,81.802,SOJA,71.102,6,LBH BRASIL,27/06/23,22/06/23
9956185,GITA,EXPORTAÇÃO,229,82.136,SOJA,70.841,7,ALPHAMAR,23/06/23,22/06/23
9928372,HSL VEGAS,EXPORTAÇÃO,229,81.981,SOJA,72.000,7.4,ALPHAMAR,13/06/23,22/06/23
9749908,SAKIZAYA KALON,EXPORTAÇÃO,229,81.691,SOJA,78.830,7.4,LBH BRASIL,27/06/23,22/06/23
9597123,YASA FALCON,EXPORTAÇÃO,229,81.488,SOJA,69.300,7.1,L.M.A. SHIPPING & CONSULTING,21/06/23,22/06/23
9418444,KESARIA,EXPORTAÇÃO,229,81.932,SOJA,66.000,7,ALPHAMAR,25/06/23,22/06/23
9311189,MV GLORY CUIABA,EXPORTAÇÃO,225,75.886,SOJA,66.471,7.5,L.M.A. SHIPPING & CONSULTING,26/06/23,22/06/23
9582453,STAR ASTRID,EXPORTAÇÃO,229,82.158,SOJA,66.000,7,ALPHAMAR,02/07/23,22/06/23
9718739,ARSINOE,EXPORTAÇÃO,229,81.616,MILHO,73.500,7.9,CARGONAVE,30/06/23,22/06/23
9422940,MYRSINI,EXPORTAÇÃO,229,82.117,SOJA,66.000,7.2,LBH BRASIL,28/06/23,22/06/23
9144380,BRAGE R,TRANSBORDO,89,3.200,DIESEL,200,4,OCEANMAR SERVIÇOS MARÍTIMOS LTDA,20/09/21,22/06/23
9559200,DN 204,TRANSBORDO,29,381,BUNKER,3.000,2.44,ORION RODOS,26/02/22,22/06/23
9669885,BOW TRIBUTE,IMPORTAÇÃO,183,49.622,HIDRÓXIDO,6.000,9.2,LBH BRASIL,01/07/23,22/06/23
9664952,ANDREAS PETRAKIS,EXPORTAÇÃO,225,75.999,SOJA,66.000,7.9,CARGONAVE,24/06/23,22/06/23
9580120,GOLF,EXPORTAÇÃO,180,35.445,COBRE,161,7,WILHELMSEN PORT SERVICES BRASIL LTDA,17/04/22,22/06/23
9315733,JAG PUSHPA,TRANSBORDO,183,47.848,GASOLINA,22.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,28/06/23,22/06/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,09/06/23,22/06/23
9343209,TORM CAVATINA,IMPORTAÇÃO,183,46.067,OUTRAS,25.100,8,WILSON SONS SHIPPING SERVICES LTDA,24/06/23,22/06/23
9753703,HAFNIA TANZANITE,IMPORTAÇÃO,183,44.999,GASOLINAS,35.974,11.2,LACHMANN,22/06/23,22/06/23
9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,183,50.135,GASOLINA,17.778,9.5,WILSON SONS SHIPPING SERVICES LTDA,27/06/23,22/06/23
9418119,HORIZON ELECTRA,IMPORTAÇÃO,183,49.999,DIESEL,6.240,10,NORTH STAR,29/06/23,22/06/23
9423566,GREAT SEA,EXPORTAÇÃO,196,53.022,CELULOSE,14.000,10,WILSON SONS SHIPPING SERVICES LTDA,26/06/23,23/06/23
9107306,PINE ARROW,EXPORTAÇÃO,190,48.041,CELULOSE,40.500,7.2,WILSON SONS SHIPPING SERVICES LTDA,02/07/23,23/06/23
