Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B103,9643805,CHIOS LUCK,IMPORTAÇÃO,BORESTE,180,36.612,(PÓ,6.300,10.3,LBH BRASIL,25/08/23
B104,9657038,NAVE JUPITER,EXPORTAÇÃO,BORESTE,183,49.999,GASOLINAS,45.459,7,LACHMANN,25/08/23
B105,9597795,TINOS,EXPORTAÇÃO,BORESTE,229,81.391,MILHO,58.180,7.1,CARGONAVE,25/08/23
B106,9512757,ANDIAMO,IMPORTAÇÃO,BOMBORDO,180,48.023,GASOLINAS,52.699,12,LACHMANN,25/08/23
B108,9425540,ENDLESS SUMMER,IMPORTAÇÃO,BORESTE,183,49.999,OUTROS,29.700,9.9,LACHMANN,25/08/23
B099,9566605,PUFFIN ARROW,EXPORTAÇÃO,BORESTE,200,62.967,CELULOSE,59.000,7,WILSON SONS SHIPPING SERVICES LTDA,27/08/23
B100,9609433,SCARLET FALCON,EXPORTAÇÃO,BOMBORDO,229,82.260,SOJA,72.290,6,LBH BRASIL,27/08/23
B105,9925760,ULTRA RELIANCE,EXPORTAÇÃO,BORESTE,200,63.662,COBRE,0,8.68,WILHELMSEN PORT SERVICES BRASIL LTDA,27/08/23
B106,9904871,TORM HELENE,IMPORTAÇÃO,BOMBORDO,250,115.575,DIESEL,120.000,14,LACHMANN,27/08/23
B108,9425540,ENDLESS SUMMER,IMPORTAÇÃO,BORESTE,183,49.999,OUTROS,29.700,9.9,LACHMANN,27/08/23
